dataset,rep,method_i,method_j,ari
political_blog,1,Non-random,Random Projection,-0.0372732403421259
political_blog,1,Non-random,Random Sampling (p=0.7),0.903955686508676
political_blog,1,Non-random,Random Sampling (p=0.8),0.907040902283918
political_blog,1,Non-random,CountSketch,-0.0175753259483527
political_blog,1,Non-random,SIGN Bidirectional,-0.0155208871164586
political_blog,1,Random Projection,Random Sampling (p=0.7),-0.0299760591857352
political_blog,1,Random Projection,Random Sampling (p=0.8),-0.0353843884403943
political_blog,1,Random Projection,CountSketch,0.928623828672418
political_blog,1,Random Projection,SIGN Bidirectional,0.93481334893092
political_blog,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.851437942381367
political_blog,1,Random Sampling (p=0.7),CountSketch,-0.00117819404087725
political_blog,1,Random Sampling (p=0.7),SIGN Bidirectional,-0.00858196909770262
political_blog,1,Random Sampling (p=0.8),CountSketch,-0.0151582748057447
political_blog,1,Random Sampling (p=0.8),SIGN Bidirectional,-0.0131026251046379
political_blog,1,CountSketch,SIGN Bidirectional,0.92045879097818
political_blog,2,Non-random,Random Projection,-0.0320616397589324
political_blog,2,Non-random,Random Sampling (p=0.7),0.927656213405441
political_blog,2,Non-random,Random Sampling (p=0.8),0.929334090029388
political_blog,2,Non-random,CountSketch,-0.00838975797077623
political_blog,2,Non-random,SIGN Bidirectional,0.708683007978307
political_blog,2,Random Projection,Random Sampling (p=0.7),-0.0316117812726558
political_blog,2,Random Projection,Random Sampling (p=0.8),-0.0241352624523849
political_blog,2,Random Projection,CountSketch,0.911231144203233
political_blog,2,Random Projection,SIGN Bidirectional,-0.0329074988964547
political_blog,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.922679042868606
political_blog,2,Random Sampling (p=0.7),CountSketch,-0.00773292164121083
political_blog,2,Random Sampling (p=0.7),SIGN Bidirectional,0.712960440375027
political_blog,2,Random Sampling (p=0.8),CountSketch,-0.00196690710988514
political_blog,2,Random Sampling (p=0.8),SIGN Bidirectional,0.737550251643195
political_blog,2,CountSketch,SIGN Bidirectional,-0.0109730546167105
political_blog,3,Non-random,Random Projection,-0.00765875577299777
political_blog,3,Non-random,Random Sampling (p=0.7),0.90778677878037
political_blog,3,Non-random,Random Sampling (p=0.8),0.929872024347975
political_blog,3,Non-random,CountSketch,-0.00838975797077623
political_blog,3,Non-random,SIGN Bidirectional,0.811572142008397
political_blog,3,Random Projection,Random Sampling (p=0.7),-0.0163829632450293
political_blog,3,Random Projection,Random Sampling (p=0.8),-0.0120307239724643
political_blog,3,Random Projection,CountSketch,0.950140353485851
political_blog,3,Random Projection,SIGN Bidirectional,-0.000794684274388719
political_blog,3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.878759732878519
political_blog,3,Random Sampling (p=0.7),CountSketch,-0.0170500761630975
political_blog,3,Random Sampling (p=0.7),SIGN Bidirectional,0.788136941178086
political_blog,3,Random Sampling (p=0.8),CountSketch,-0.0127577718635606
political_blog,3,Random Sampling (p=0.8),SIGN Bidirectional,0.799254999262848
political_blog,3,CountSketch,SIGN Bidirectional,-0.00979587546767659
political_blog,4,Non-random,Random Projection,-0.032673464798363
political_blog,4,Non-random,Random Sampling (p=0.7),0.876846543200541
political_blog,4,Non-random,Random Sampling (p=0.8),0.915316844707657
political_blog,4,Non-random,CountSketch,-0.0350372646025137
political_blog,4,Non-random,SIGN Bidirectional,0.804242852264569
political_blog,4,Random Projection,Random Sampling (p=0.7),-0.0228307946367364
political_blog,4,Random Projection,Random Sampling (p=0.8),-0.0331180277615558
political_blog,4,Random Projection,CountSketch,0.969616446333394
political_blog,4,Random Projection,SIGN Bidirectional,0.00637009208125434
political_blog,4,Random Sampling (p=0.7),Random Sampling (p=0.8),0.858312607330652
