dataset,rep,method_i,method_j,ari
political_blog,1,Non-random,Random Projection,1.0
political_blog,1,Non-random,Random Sampling (p=0.7),0.9259306606016837
political_blog,1,Non-random,Random Sampling (p=0.8),0.9426829595289556
political_blog,1,Random Projection,Random Sampling (p=0.7),0.9259306606016837
political_blog,1,Random Projection,Random Sampling (p=0.8),0.9426829595289556
political_blog,1,Random Sampling (p=0.7),Random Sampling (p=0.8),0.9077204125655306
political_blog,2,Non-random,Random Projection,1.0
political_blog,2,Non-random,Random Sampling (p=0.7),0.9286778957642797
political_blog,2,Non-random,Random Sampling (p=0.8),0.956271149084335
political_blog,2,Random Projection,Random Sampling (p=0.7),0.9286778957642797
political_blog,2,Random Projection,Random Sampling (p=0.8),0.956271149084335
political_blog,2,Random Sampling (p=0.7),Random Sampling (p=0.8),0.9324030131528728
political_blog,3,Non-random,Random Projection,1.0
political_blog,3,Non-random,Random Sampling (p=0.7),0.9244488938015291
political_blog,3,Non-random,Random Sampling (p=0.8),0.9222123122640715
political_blog,3,Random Projection,Random Sampling (p=0.7),0.9244488938015291
political_blog,3,Random Projection,Random Sampling (p=0.8),0.9222123122640715
political_blog,3,Random Sampling (p=0.7),Random Sampling (p=0.8),0.8757286616567221
political_blog,4,Non-random,Random Projection,1.0
political_blog,4,Non-random,Random Sampling (p=0.7),0.9370443940788213
political_blog,4,Non-random,Random Sampling (p=0.8),0.9422053221957197
political_blog,4,Random Projection,Random Sampling (p=0.7),0.9370443940788213
political_blog,4,Random Projection,Random Sampling (p=0.8),0.9422053221957197
political_blog,4,Random Sampling (p=0.7),Random Sampling (p=0.8),0.9364954862727423
political_blog,5,Non-random,Random Projection,1.0
political_blog,5,Non-random,Random Sampling (p=0.7),0.9238299164649262
political_blog,5,Non-random,Random Sampling (p=0.8),0.9616623211394778
political_blog,5,Random Projection,Random Sampling (p=0.7),0.9238299164649262
political_blog,5,Random Projection,Random Sampling (p=0.8),0.9616623211394778
political_blog,5,Random Sampling (p=0.7),Random Sampling (p=0.8),0.9238299164649262
political_blog,6,Non-random,Random Projection,1.0
political_blog,6,Non-random,Random Sampling (p=0.7),0.9613428436063933
political_blog,6,Non-random,Random Sampling (p=0.8),0.9225441242640677
political_blog,6,Random Projection,Random Sampling (p=0.7),0.9613428436063933
political_blog,6,Random Projection,Random Sampling (p=0.8),0.9225441242640677
political_blog,6,Random Sampling (p=0.7),Random Sampling (p=0.8),0.9122432362624332
political_blog,7,Non-random,Random Projection,1.0
political_blog,7,Non-random,Random Sampling (p=0.7),0.9523524607661176
political_blog,7,Non-random,Random Sampling (p=0.8),0.9566371538903514
political_blog,7,Random Projection,Random Sampling (p=0.7),0.9523524607661176
political_blog,7,Random Projection,Random Sampling (p=0.8),0.9566371538903514
political_blog,7,Random Sampling (p=0.7),Random Sampling (p=0.8),0.9378315039339292
political_blog,8,Non-random,Random Projection,1.0
political_blog,8,Non-random,Random Sampling (p=0.7),0.914096563283431
political_blog,8,Non-random,Random Sampling (p=0.8),0.9566371538903514
political_blog,8,Random Projection,Random Sampling (p=0.7),0.914096563283431
political_blog,8,Random Projection,Random Sampling (p=0.8),0.9566371538903514
political_blog,8,Random Sampling (p=0.7),Random Sampling (p=0.8),0.8993981211971334
